Chapter,Item,Weight
Descriptive,Classify variables according to their types,1
Descriptive,Compute relative frequencies,1
Descriptive,Compute cumulative frequencies,1
Descriptive,Identify the sample size from de sample,1
Descriptive,Identify the sample size from a chart,2
Descriptive,Construct the frequency table for non-grouped data,1
Descriptive,Construct the frequency table for grouped data,1
Descriptive,Plot the bar chart and its polygon,1
Descriptive,Plot the cumulative bar chart and its polygon,1
Descriptive,Plot the histogram and its polygon,1
Descriptive,Plot the cumulative histogram and its ogive,1
Descriptive,Plot a pie chart,1
Descriptive,Get the frequency distribution from a frequency chart,3
Descriptive,Identify the most appropriate chart to represent a frequency distribution,2
Descriptive,Recognize a normal distribution (bell shaped),2
Descriptive,Interpret the skewness of a distribution from the bar chart or histogram,1
Descriptive,Interpret the kurtosis of a distribution from the bar chart or histogram,1
Descriptive,Compute the arithmetic mean from the sampel,2
Descriptive,Compute the arithmetic mean from the frequency table,2
Descriptive,Compute the arithmetic mean from the sums,2
Descriptive,Interpret the arithmetic mean,2
Descriptive,Compute the weighted mean,2
Descriptive,Compute the median from the sample,2
Descriptive,Compute the median from the frequency table for non-grouped data,2
Descriptive,Compute the median from the frequency table for grouped data (interpolation),2
Descriptive,Interpret the median,2
Descriptive,Compute the mode from the sample,1
Descriptive,Compute the mode from the frequency distribution,1
Descriptive,Interpret the mode,1
Descriptive,Identify the most appropriate central tendency statistics,2
Descriptive,Compute percentiles from the frequency table for non-grouped data,2
Descriptive,Compute percentiles from the frequency table for grouped data (interpolation),2
Descriptive,Compute the cumulative frequency for a particular value from the frequency table for grouped data (interpolation),2
Descriptive,Interpret percentiles,2
Descriptive,Compute the range,1
Descriptive,Compute the interquartile range,1
Descriptive,Interpret the interquartile range,2
Descriptive,Compute the fences for the box and whiskers plot,1
Descriptive,Plot the box of the box and whiskers plot,1
Descriptive,Plot the whiskers of the box and whiskers plot,1
Descriptive,Detect outliers with the fences of the box and whiskers plot,1
Descriptive,Interpret the asymmetry from the box and whiskers plot,1
Descriptive,Compute the deviation of a value from the mean,1
Descriptive,Compute the variance from the sample,2
Descriptive,Compute the variance from the frequency table,2
Descriptive,Compute the variance from the sums of squares,2
Descriptive,Interpret the variance,1
Descriptive,Compute the standard deviation,1
